地名,センター（center.csvを使わない場合は空白化）,燃やすごみ,プラスチック資源,燃やせないごみと有害ごみ,資源,,,,,,,,,,,,,,,,,,,,
青葉台 あおばだい,朝霞市クリーンセンター,水 土,木,木,火,,,,,,,,,,,,,,,,,,,,
朝志ヶ丘 あさしがおか,朝霞市クリーンセンター,火 金,月,月,木,,,,,,,,,,,,,,,,,,,,
岡 おか,朝霞市クリーンセンター,火 金,水,水,月,,,,,,,,,,,,,,,,,,,,
大字上内間木 かみうちまぎ,朝霞市クリーンセンター,火 金,月,月,木,,,,,,,,,,,,,,,,,,,,
北原 きたはら,朝霞市クリーンセンター,火 金,月,月,木,,,,,,,,,,,,,,,,,,,,
幸町1～2丁目 さいわいちょう1・2,朝霞市クリーンセンター,月 木,金,金,水,,,,,,,,,,,,,,,,,,,,
幸町3丁目 さいわいちょう3,朝霞市クリーンセンター,水 土,木,木,火,,,,,,,,,,,,,,,,,,,,
栄町 さかえちょう,朝霞市クリーンセンター,水 土,木,木,火,,,,,,,,,,,,,,,,,,,,
大字下内間木 しもうちまぎ,朝霞市クリーンセンター,火 金,月,月,木,,,,,,,,,,,,,,,,,,,,
泉水 せんずい,朝霞市クリーンセンター,月 木,火,火,金,,,,,,,,,,,,,,,,,,,,
大字台 だい,朝霞市クリーンセンター,火 金,水,水,月,,,,,,,,,,,,,,,,,,,,
田島 たじま,朝霞市クリーンセンター,火 金,月,月,木,,,,,,,,,,,,,,,,,,,,
仲町 なかちょう,朝霞市クリーンセンター,火 金,水,水,月,,,,,,,,,,,,,,,,,,,,
西原 にしはら,朝霞市クリーンセンター,火 金,月,月,木,,,,,,,,,,,,,,,,,,,,
西弁財 にしべんざい,朝霞市クリーンセンター,月 木,火,火,金,,,,,,,,,,,,,,,,,,,,
大字根岸 ねぎし,朝霞市クリーンセンター,火 金,水,水,月,,,,,,,,,,,,,,,,,,,,
根岸台 ねぎしだい,朝霞市クリーンセンター,火 金,水,水,月,,,,,,,,,,,,,,,,,,,,
浜崎 はまさき,朝霞市クリーンセンター,火 金,月,月,木,,,,,,,,,,,,,,,,,,,,
大字浜崎（北） はまさき（きた）,朝霞市クリーンセンター,火 金,月,月,木,,,,,,,,,,,,,,,,,,,,
大字浜崎（南） はまさき（みなみ）,朝霞市クリーンセンター,月 木,火,火,金,,,,,,,,,,,,,,,,,,,,
東弁財 ひがしべんざい,朝霞市クリーンセンター,月 木,火,火,金,,,,,,,,,,,,,,,,,,,,
膝折町１丁目 ひざおりちょう1,朝霞市クリーンセンター,月 木,金,金,水,,,,,,,,,,,,,,,,,,,,
膝折町2-1～6・7（東）・8～21 ひざおりちょう2-1～6・7（ひがし）・8～21,朝霞市クリーンセンター,月 木,金,金,水,,,,,,,,,,,,,,,,,,,,
膝折町2-7の一部（西） ひざおりちょう2-7（にし）,朝霞市クリーンセンター,月 木,火,火,金,,,,,,,,,,,,,,,,,,,,
膝折町3丁目 ひざおりちょう3,朝霞市クリーンセンター,月 木,火,火,金,,,,,,,,,,,,,,,,,,,,
膝折町4丁目1～11番 ひざおりちょう4-1～11,朝霞市クリーンセンター,月 木,金,金,水,,,,,,,,,,,,,,,,,,,,
膝折町4丁目12～22番 ひざおりちょう4-12～22,朝霞市クリーンセンター,月 木,火,火,金,,,,,,,,,,,,,,,,,,,,
膝折町5丁目 ひざおりちょう5,朝霞市クリーンセンター,月 木,金,金,水,,,,,,,,,,,,,,,,,,,,
本町 ほんちょう,朝霞市クリーンセンター,水 土,木,木,火,,,,,,,,,,,,,,,,,,,,
溝沼1～4丁目 みぞぬま1～4,朝霞市クリーンセンター,月 木,金,金,水,,,,,,,,,,,,,,,,,,,,
溝沼5～6丁目 みぞぬま5～6,朝霞市クリーンセンター,水 土,木,木,火,,,,,,,,,,,,,,,,,,,,
溝沼7丁目 みぞぬま7,朝霞市クリーンセンター,月 木,金,金,水,,,,,,,,,,,,,,,,,,,,
大字溝沼の一部（東） みぞぬま（ひがし）,朝霞市クリーンセンター,月 木,金,金,水,,,,,,,,,,,,,,,,,,,,
大字溝沼の一部（西） みぞぬま（にし）,朝霞市クリーンセンター,月 木,火,火,金,,,,,,,,,,,,,,,,,,,,
三原 みはら,朝霞市クリーンセンター,月 木,火,火,金,,,,,,,,,,,,,,,,,,,,
宮戸 みやど,朝霞市クリーンセンター,火 金,月,月,木,,,,,,,,,,,,,,,,,,,,
